id,name,owners,length,rfs_date,is_planned,notes,url,landing_points
norte-conectado-infovia-02,Norte Conectado (Infovia 02),Entidade Administradora da Faixa (EAF),"1,796 km",2026,True,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",https://eaf.org.br/infovias,"Alvarães, Brazil, Amaturá, Brazil, Atalaia do Norte, Brazil, Belém do Solimões, Brazil, Benjamin Constant, Brazil, Fonte Boa, Brazil, Jutaí, Brazil, Santo Antônio do Içá, Brazil, São Paulo de Olivença, Brazil, Tabatinga, Brazil, Tefé, Brazil, Tonantins, Brazil, Uarini, Brazil"
norte-conectado-infovia-03,Norte Conectado (Infovia 03),Entidade Administradora da Faixa (EAF),600 km,2025,False,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",https://eaf.org.br/infovias,"Afuá, Brazil, Bagre, Brazil, Belém, Brazil, Breves, Brazil, Curralinho, Brazil, Macapá, Brazil, Ponta de Pedras, Brazil, São Sebastião da Boa Vista, Brazil"
norte-conectado-infovia-04,Norte Conectado (Infovia 04),Entidade Administradora da Faixa (EAF),515 km,2026,True,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",https://eaf.org.br/infovias,"Boa Vista, Brazil, Caracaraí, Brazil, Moura, Brazil, Santa Maria do Boiaçu, Brazil"
projeto-amaznia-conectada-pac-01,Projeto Amazônia Conectada (PAC 01),Government of Brazil,800 km,2017,False,PAC 01 was laid in the Amazon riverbed in a pilot initiative coordinated by the Brazilian Ministry of Defense.,,"Coari, Brazil, Iranduba, Brazil, Manacapuru, Brazil, Manaus, Brazil, Novo Airão, Brazil, Tefé, Brazil"
projeto-amaznia-conectada-pac-02,Projeto Amazônia Conectada (PAC 02),Government of Brazil,"1,001 km",2021,False,PAC 02 was laid under Rio Negro through an interagency effort coordinated by the Brazilian Ministry of Defense.,,"Barcelos, Brazil, Moura, Brazil, Novo Airão, Brazil, Santa Isabel do Rio Negro, Brazil, São Gabriel da Cachoeira, Brazil"
barat-timur-indonesia-2-bti-2,Barat Timur Indonesia-2 (BTI-2),Super Sistem (PT Super Sistem Data),"11,600 km",,True,,,"Banjarmasin, Indonesia, Batam, Indonesia, Jeneponto, Indonesia, Kendari, Indonesia, Luwuk, Indonesia, Manado, Indonesia, Pantai Mutiara, Indonesia, Pontianak, Indonesia, Semarang, Indonesia, Singaraja, Indonesia"
trans-caspian-fiber-optic-cable-project,Trans-Caspian Fiber Optic Cable Project,"Azertelecom, Kazakhtelecom",380 km,2026 Q4,True,,,"Sumgait, Azerbaijan, Aktau, Kazakhstan"
kangaroo-island-2,Kangaroo Island 2,SA Power Networks,,2024 July,False,,,"Cape Jervis, SA, Australia, Kingscote, SA, Australia"
bangladesh-private-cable-system-bpcs,Bangladesh Private Cable System (BPCS),"CdNet Communications, Metacore Subcom, Summit Communications","1,300 km",2027,True,The Bangladesh Private Cable System (BPCS) will link Bangladesh to a branching unit on the UMO cable.,,"Cox’s Bazar, Bangladesh"
vstervik-visby,Västervik-Visby,GlobalConnect,,2008,False,,https://www.globalconnectcarrier.com/,"Visby, Sweden, Västervik, Sweden"
oskarshamn-visby,Oskarshamn-Visby,GlobalConnect,,2008,False,,https://www.globalconnectcarrier.com/,"Oskarshamn, Sweden, Visby, Sweden"
globalconnect-6-gc6,GlobalConnect 6 (GC6),GlobalConnect,,2019,False,,https://www.globalconnectcarrier.com/,"Bogense, Denmark, Juelsminde, Denmark"
vietnam-singapore-cable-system-vts,Vietnam-Singapore Cable System (VTS),"Singtel, Viettel Corporation",,2027 Q2,True,,,"Kuala Sedili, Malaysia, Changi, Singapore, Songkhla, Thailand, Vung Tau, Vietnam"
lake-michigan-crossing-peninsula-and-island-connection,Lake Michigan Crossing Peninsula and Island Connection,"123NET, Peninsula Fiber Network (PFN)",,2028,True,,,"Beaver Island, MI, United States, Charlevoix, MI, United States, Gulliver, MI, United States"
