id,name,longitude,latitude
diego-garcia-british-indian-ocean-territory,"Diego Garcia, British Indian Ocean Territory",72.416672,-7.333330000000503
hithadhoo-maldives,"Hithadhoo, Maldives",73.08918261453131,-0.606021265123826
fuvahmulah-maldives,"Fuvahmulah, Maldives",73.42687768780485,-0.298304384685104
port-gentil-gabon,"Port Gentil, Gabon",8.781610983118252,-0.721040306475029
lusk-ireland,"Lusk, Ireland",-6.165888193558025,53.52625445974578
tobruk-libya,"Tobruk, Libya",23.960311167883617,32.079604155442446
al-bayda-libya,"Al Bayda, Libya",21.74166039584776,32.88172722141822
tolmeta-libya,"Tolmeta, Libya",20.949961737944495,32.71673198238239
igiugig-ak-united-states,"Igiugig, AK, United States",-155.8947433058731,59.327800128586105
port-alsworth-ak-united-states,"Port Alsworth, AK, United States",-154.3369319094411,60.200371500530665
fish-camp-ak-united-states,"Fish Camp, AK, United States",-154.85885536783067,59.94919988638963
nondalton-ak-united-states,"Nondalton, AK, United States",-154.84772256321745,59.972649771731774
newhalen-ak-united-states,"Newhalen, AK, United States",-154.899773307594,59.7181450195821
kokhanok-ak-united-states,"Kokhanok, AK, United States",-154.75275192737027,59.44215809995201
pile-bay-ak-united-states,"Pile Bay, AK, United States",-153.88048692029113,59.776054476860836
illiamna-ak-united-states,"Illiamna, AK, United States",-154.90612095934728,59.754765229743505
pedro-bay-ak-united-states,"Pedro Bay, AK, United States",-154.10612152607442,59.7872115404838
williamsport-ak-united-states,"Williamsport, AK, United States",-153.63214725246726,59.682402835634406
mchugh-point-ak-united-states,"McHugh Point, AK, United States",-149.73219884335225,61.01571463051166
portage-ak-united-states,"Portage, AK, United States",-148.98981655676278,60.82828925189919
matara-sri-lanka,"Matara, Sri Lanka",80.53986093015084,5.940833037393244
kuakata-bangladesh,"Kuakata, Bangladesh",90.11661195839058,21.816735551700102
ngwe-saung-myanmar,"Ngwe Saung, Myanmar",94.39121830521923,16.858028367792194
yanbu-saudi-arabia,"Yanbu, Saudi Arabia",38.10698083375123,24.070555564820936
toulon-france,"Toulon, France",5.930343471732967,43.12529261338072
buenaventura-colombia,"Buenaventura, Colombia",-77.0403008760841,3.883674880769303
puerto-chacabuco-chile,"Puerto Chacabuco, Chile",-72.805098798216,-45.45830050296172
quellon-chile,"Quellon, Chile",-73.47946355486467,-43.117473610870405
gav-spain,"Gavá, Spain",2.001342348824283,41.304002941820244
fomboni-moheli-comoros,"Fomboni Moheli, Comoros",43.73959403105522,-12.288236282174532
mutsamudu-comoros,"Mutsamudu, Comoros",44.400042781936996,-12.16665664973713
ormoc-philippines,"Ormoc, Philippines",124.61277892723209,11.006888634178475
aikerness-bay-united-kingdom,"Aikerness Bay, United Kingdom",-3.095076000000142,59.11804019999936
portachur-point-united-kingdom,"Portachur Point, United Kingdom",-4.943867574873866,55.74276545167681
coilleag-united-kingdom,"Coilleag, United Kingdom",-7.302215513573107,57.07361367890789
ardbeg-point-united-kingdom,"Ardbeg Point, United Kingdom",-5.063594052558523,55.858590024607395
ardyne-point-united-kingdom,"Ardyne Point, United Kingdom",-5.019990567822677,55.86941315469073
ardgour-united-kingdom,"Ardgour, United Kingdom",-5.233662291455637,56.72156793829049
raglan-new-zealand,"Raglan, New Zealand",174.87182535450324,-37.8013819587598
ola-russia,"Ola, Russia",151.2833655022884,59.5833440417752
okha-russia,"Okha, Russia",142.94245344231877,53.5775487202457
ust-bolsheretsk-russia,"Ust-Bolsheretsk, Russia",156.28707289511507,52.812414384362135
porthcressa-beach-united-kingdom,"Porthcressa Beach, United Kingdom",-6.308173249011959,49.919905077432276
mogadishu-somalia,"Mogadishu, Somalia",45.344182738099455,2.041189900937192
satun-thailand,"Satun, Thailand",100.06611799999914,6.613467
rayong-thailand,"Rayong, Thailand",101.27734623952158,12.670662766448473
cherating-malaysia,"Cherating, Malaysia",103.39365333405976,4.130238298773818
davao-philippines,"Davao, Philippines",125.61277821882337,7.079988883160643
ilyich-russia,"Ilyich, Russia",36.77084896777956,45.42360850409014
kerch-ukraine,"Kerch, Ukraine",36.477392144417024,45.35698172208115
domburg-netherlands,"Domburg, Netherlands",3.496165508627551,51.56395317878603
aldeburgh-united-kingdom,"Aldeburgh, United Kingdom",1.590600452297692,52.1578426448517
port-hedland-wa-australia,"Port Hedland, WA, Australia",118.57723632786723,-20.31345781610387
darwin-nt-australia,"Darwin, NT, Australia",130.8431456073319,-12.467490679762426
cebu-philippines,"Cebu, Philippines",123.89461537348717,10.310033388932034
cadiz-city-philippines,"Cadiz City, Philippines",123.29998688847635,10.950026359206582
dumaguete-philippines,"Dumaguete, Philippines",123.28143221412073,9.295611105669924
ozamiz-city-philippines,"Ozamiz City, Philippines",123.84998649885156,8.15002871017614
cagayan-de-oro-philippines,"Cagayan de Oro, Philippines",124.6319195386728,8.454228346754538
butuan-city-philippines,"Butuan City, Philippines",125.54061030119786,8.947615403087521
san-jose-de-buenavista-philippines,"San Jose de Buenavista, Philippines",121.94129644473541,10.748806024464415
santiago-de-cuba-cuba,"Santiago de Cuba, Cuba",-75.82897360919968,20.028793830551784
killala-ireland,"Killala, Ireland",-9.23219461510775,54.20682940735113
cork-ireland,"Cork, Ireland",-8.472771324965343,51.89833468681305
